employee_id,employee_name,department,state,salary,age
1000,Nitz Leif,Marketing,CA,6131,26
1001,Melissia Dedman,Finance,AK,4027,43
1002,Rudolph Barringer,HR,LA,3122,43
1003,Tamra Amber,Accounts,AK,5717,47
1004,Mullan Nitz,Purchasing,CA,5685,34
1005,Zollner Karie,Accounts,CA,2843,27
1006,Kaczorowski Zollner,Sales,CA,7201,21
1007,Nakano Locust,Marketing,LA,3444,23
1008,Recalde Kensinger,Accounts,LA,3704,48
1009,Imai Hallie,Accounts,AK,5061,38
1010,Debroah Gallman,Accounts,NY,9308,35
1011,Barringer Escoto,Purchasing,WA,1685,49
1012,Soules Coogan,Accounts,AK,8330,43
1013,Luisa Suzanne,Accounts,CA,1151,37
1014,Marvis Cobian,Purchasing,NY,5061,41
1015,Cobian Kensinger,Sales,LA,1983,21
1016,Gilma Margret,Marketing,CA,2919,45
1017,Ellingsworth Ilana,Accounts,WA,9614,26
1018,Vankirk Jacquelyne,Purchasing,NY,8636,47
1019,Zollner Juliana,HR,NY,9739,30
1020,Megan Gallman,Finance,CA,8628,27
1021,Gilma Imai,Purchasing,CA,9236,25
1022,Jacquelyne Hanh,Accounts,AK,7310,38
1023,Trena Clemencia,Finance,CA,7275,23
1024,Dedman Jere,HR,WA,1385,32
1025,Dionne Lemaster,Sales,AK,5134,48
1026,Janey Ilana,Purchasing,AK,2338,42
1027,Tyree Soules,Finance,AK,2810,45
1028,Debroah Kreamer,Sales,AK,6051,25
1029,Frisina Gallman,HR,CA,2786,38
1030,Trena Benz,Accounts,NY,4376,49
1031,Suzanne Trena,Finance,AK,3039,20
1032,Antonio Casimira,HR,NY,3212,24
1033,Amber Richter,Accounts,LA,7624,38
1034,Layla Antonina,Sales,CA,9129,37
1035,Vivan Sifford,Finance,NY,1129,35
1036,Mullan Trena,Sales,WA,7370,30
1037,Herder Nitz,Finance,AK,1677,25
1038,Dionne Hanh,Accounts,WA,1956,30
1039,Dynes Katlyn,Accounts,AK,3039,48
1040,Tamra Laub,Sales,LA,9587,28
1041,Vivan Kall,Purchasing,NY,1928,45
1042,Jaclyn Layla,HR,NY,7541,25
1043,Byrge Yukiko,Sales,WA,8371,26
1044,Escoto Kohn,Purchasing,NY,2268,44
1045,Kaczorowski Dynes,Purchasing,NY,3901,42
1046,Zollner Kensinger,Sales,WA,6636,20
1047,Exie Georgeanna,Finance,WA,4651,41
1048,Melissia Leonel,Marketing,CA,3864,39
1049,Ellingsworth Lonergan,Accounts,WA,4503,37
1050,Melissia Imai,Accounts,CA,8926,37
1051,Gallman Bergren,Marketing,AK,4980,43
1052,Antonio Ruzicka,Finance,AK,2751,22
1053,Fender Yessenia,Marketing,CA,7029,23
1054,Lisabeth Gallman,Marketing,NY,2143,37
1055,Nakano Clune,Accounts,CA,7594,40
1056,Byrge Lisabeth,Sales,LA,2284,41
1057,Yukiko Fender,Purchasing,LA,7113,20
1058,Clune Norene,Finance,AK,1605,49
1059,Suzanne Gilma,Purchasing,NY,2092,37
1060,Rudolph Grigg,Purchasing,LA,6072,23
1061,Charlie Antonina,Accounts,WA,2927,40
1062,Megan Vankirk,Marketing,CA,8737,45
1063,Vivan Jacquelyne,Marketing,LA,9974,35
1064,Locust Dedman,Marketing,WA,9101,26
1065,Luisa Jere,Sales,NY,7870,36
1066,Locust Louann,Sales,LA,7719,29
1067,Ruzicka Nena,Marketing,NY,2379,40
1068,Ilana Deandre,Sales,WA,3393,20
1069,Figueras Sifford,HR,WA,8815,45
1070,Janine Mayeda,Finance,WA,7044,25
1071,Norene Marvis,Marketing,NY,4713,30
1072,Janine Fender,HR,CA,7572,28
1073,Herder Gallman,Finance,NY,1988,31
1074,Rocha Dionne,Accounts,CA,3470,49
1075,Trena Melissia,HR,LA,2969,31
1076,Casimira Katlyn,Finance,WA,5966,22
1077,Vivan Locust,HR,NY,8389,34
1078,Tenenbaum Suzanne,Finance,AK,3426,21
1079,Grigg Debroah,Finance,NY,5728,28
1080,Phylicia Nena,Accounts,WA,9506,26
1081,Recalde Reardon,Purchasing,LA,4273,27
1082,Nena Rocha,Finance,NY,3417,25
1083,Benz Melvina,HR,NY,2558,43
1084,Clemencia Locust,Finance,CA,9017,24
1085,Karie Sifford,Sales,NY,3207,23
1086,Villela Dedman,Purchasing,WA,5072,22
1087,Leif Lemaster,Finance,NY,8642,45
1088,Imai Locust,Sales,NY,9982,49
1089,Herder Villela,Marketing,NY,2671,32
1090,Clemencia Rudolph,Finance,NY,1296,50
1091,Nitz Mcmillion,Sales,WA,6095,21
1092,Ullery Juliana,Marketing,LA,5745,26
1093,Janey Amber,Finance,LA,7005,25
1094,Antonio Mullan,Marketing,AK,7138,30
1095,Toussaint Layla,Marketing,LA,4598,22
1096,Coogan Toussaint,Marketing,NY,7109,38
1097,Bergren Dedman,Sales,CA,5192,33
1098,Dedman Laub,Sales,AK,5674,22
1099,Zollner Marvis,Purchasing,CA,4230,50
1100,Ellingsworth Melissia,Finance,NY,7845,32
1101,Escoto Clemencia,Marketing,WA,2038,40
1102,Lemaster Juliana,Finance,AK,4614,29
1103,Amber Exie,Purchasing,AK,7963,29
1104,Antonio Clemencia,HR,LA,7929,33
1105,Katlyn Casimira,Sales,NY,7447,32
1106,Reardon Kall,Purchasing,LA,6222,25
1107,Nena Cobian,Purchasing,WA,5362,28
1108,Fender Mayeda,Purchasing,WA,6022,43
1109,Lonergan Trena,Purchasing,WA,2286,37
1110,Toussaint Tyree,HR,NY,3677,26
1111,Margret Reighard,HR,CA,6592,22
1112,Stanford Durio,Purchasing,WA,9123,25
1113,Figueras Escoto,Purchasing,WA,3516,43
1114,Locust Antonina,Sales,WA,2842,40
1115,Trena Nitz,Marketing,CA,9255,41
1116,Norene Kensinger,Accounts,AK,5206,38
1117,Grigg Tyree,Sales,WA,8139,33
1118,Kohn Antonina,Sales,CA,9311,48
1119,Toussaint Deandre,Purchasing,WA,3270,45
1120,Luisa Deandre,Accounts,CA,2792,34
1121,Toussaint Nitz,Sales,WA,6358,27
1122,Benz Coogan,Accounts,CA,8221,36
1123,Antonio Juliana,Sales,NY,3478,32
1124,Deandre Grigg,Purchasing,LA,6721,28
1125,Richter Escoto,HR,LA,2143,38
1126,Norene Mayeda,Accounts,LA,3100,50
1127,Escoto Gilma,Finance,NY,3426,41
1128,Jacquelyne Kreamer,Finance,CA,7353,31
1129,Kall Karie,HR,CA,1716,34
1130,Kohn Figueras,Purchasing,CA,1105,27
1131,Louann Katlyn,HR,LA,8352,39
1132,Juliana Trena,Marketing,LA,3253,25
1133,Soules Mckey,HR,NY,3555,45
1134,Melvina Clemencia,Sales,CA,6514,35
1135,Antonio Antonina,Marketing,NY,2835,27
1136,Jaclyn Baros,Sales,LA,1699,48
1137,Norene Antonina,HR,WA,8880,24
1138,Layla Tenenbaum,Accounts,CA,1461,32
1139,Leonel Yukiko,Purchasing,AK,7344,39
1140,Layla Karie,HR,LA,2014,37
1141,Byrge Rocha,Finance,LA,6636,20
1142,Hanh Cobian,Marketing,LA,7639,24
1143,Nakano Mcmillion,Accounts,NY,1716,32
1144,Herder Baros,Finance,AK,1053,32
1145,Marvis Ruzicka,Finance,AK,4728,37
1146,Escoto Ilana,Marketing,AK,1327,44
1147,Kohn Louann,Accounts,CA,3401,31
1148,Janey Suzanne,Finance,CA,1486,33
1149,Escoto Gallman,Finance,CA,3175,28
1150,Mcmillion Nakano,Marketing,CA,1787,37
1151,Barringer Kreamer,Sales,LA,5407,38
1152,Cobian Hanh,Marketing,AK,9355,28
1153,Tiffani Jaclyn,Purchasing,CA,5315,33
1154,Sifford Cobian,Sales,AK,1861,20
1155,Zollner Mullan,Accounts,AK,5295,27
1156,Jaclyn Dionne,Marketing,AK,3433,20
1157,Benz Hanh,Purchasing,AK,2858,32
1158,Melvina Benz,Sales,CA,2522,29
1159,Layla Kaczorowski,Finance,CA,8942,21
1160,Soules Baros,Sales,LA,7065,33
1161,Georgeanna Laub,Finance,NY,2469,26
1162,Leif Exie,Marketing,AK,7048,24
1163,Ilana Grigg,HR,LA,7869,44
1164,Gallman Nakano,Sales,CA,6813,47
1165,Luisa Grigg,Purchasing,AK,9297,48
1166,Tenenbaum Katlyn,Sales,AK,4684,43
1167,Antonio Jaclyn,Purchasing,LA,7128,26
1168,Amber Trena,Purchasing,LA,6015,31
1169,Kreamer Shandra,HR,WA,4968,46
1170,Fender Coogan,Marketing,AK,1151,50
